n_universo, k, tiempo (micro segundos)
2,1,128
3,1,130
3,2,244
4,1,128
4,2,243
5,1,128
5,2,243
5,3,361
6,1,128
6,2,243
6,3,362
7,1,128
7,2,244
7,3,363
8,1,128
8,2,243
8,3,362
9,1,128
9,2,242
9,3,361
9,4,482
10,1,128
10,2,244
10,3,362
10,4,483
11,1,129
11,2,243
11,3,363
11,4,531
12,1,129
12,2,245
12,3,397
12,4,483
13,1,128
13,2,242
13,3,367
13,4,518
14,1,129
14,2,243
14,3,362
14,4,663
15,1,129
15,2,243
15,3,362
15,4,482
16,1,128
16,2,245
16,3,361
16,4,480
17,1,128
17,2,242
17,3,363
17,4,495
17,5,621
18,1,129
18,2,246
18,3,364
18,4,523
18,5,603
19,1,129
19,2,894
19,3,362
19,4,483
19,5,634
20,1,128
20,2,242
20,3,362
20,4,513
20,5,607
21,1,128
21,2,243
21,3,362
21,4,482
21,5,627
22,1,129
22,2,243
22,3,396
22,4,483
22,5,604
23,1,129
23,2,245
23,3,363
23,4,481
23,5,600
24,1,130
24,2,244
24,3,362
24,4,482
24,5,602
25,1,129
25,2,246
25,3,402
25,4,483
25,5,603
26,1,128
26,2,242
26,3,396
26,4,487
26,5,600
27,1,128
27,2,244
27,3,361
27,4,507
27,5,601
28,1,128
28,2,245
28,3,365
28,4,487
28,5,608
29,1,128
29,2,243
29,3,362
29,4,508
29,5,601
30,1,128
30,2,244
30,3,364
30,4,486
30,5,608
31,1,129
31,2,242
31,3,364
31,4,487
31,5,603
32,1,129
32,2,243
32,3,363
32,4,482
32,5,603
33,1,129
33,2,243
33,3,362
33,4,483
33,5,603
33,6,757
34,1,129
34,2,245
34,3,362
34,4,482
34,5,601
34,6,743
35,1,128
35,2,242
35,3,361
35,4,484
35,5,637
35,6,724
36,1,130
36,2,243
36,3,363
36,4,480
36,5,632
36,6,727
37,1,129
37,2,243
37,3,361
37,4,543
37,5,731
37,6,725
38,1,192
38,2,244
38,3,364
38,4,484
38,5,603
38,6,722
39,1,128
39,2,245
39,3,364
39,4,483
39,5,600
39,6,720
40,1,128
40,2,242
40,3,362
40,4,483
40,5,602
40,6,724
41,1,130
41,2,245
41,3,362
41,4,482
41,5,637
41,6,726
42,1,130
42,2,244
42,3,363
42,4,485
42,5,631
42,6,779
43,1,129
43,2,243
43,3,362
43,4,535
43,5,603
43,6,724
44,1,129
44,2,243
44,3,361
44,4,482
44,5,600
44,6,741
45,1,130
45,2,245
45,3,362
45,4,482
45,5,604
45,6,722
46,1,128
46,2,242
46,3,362
46,4,481
46,5,622
46,6,722
47,1,129
47,2,242
47,3,368
47,4,488
47,5,638
47,6,726
48,1,130
48,2,243
48,3,362
48,4,482
48,5,603
48,6,771
49,1,130
49,2,245
49,3,361
49,4,526
49,5,601
49,6,721
50,1,128
50,2,243
50,3,362
50,4,515
50,5,603
50,6,721
51,1,129
51,2,243
51,3,361
51,4,510
51,5,610
51,6,726
52,1,127
52,2,246
52,3,363
52,4,481
52,5,606
52,6,722
53,1,128
53,2,242
53,3,400
53,4,486
53,5,603
53,6,720
54,1,128
54,2,242
54,3,361
54,4,481
54,5,601
54,6,722
55,1,130
55,2,243
55,3,362
55,4,483
55,5,633
55,6,724
56,1,129
56,2,244
56,3,363
56,4,483
56,5,606
56,6,730
57,1,129
57,2,243
57,3,363
57,4,489
57,5,605
57,6,722
58,1,128
58,2,242
58,3,363
58,4,481
58,5,600
58,6,720
59,1,130
59,2,244
59,3,363
59,4,483
59,5,605
59,6,722
60,1,128
60,2,281
60,3,361
60,4,482
60,5,601
60,6,724
61,1,129
61,2,243
61,3,362
61,4,530
61,5,603
61,6,726
62,1,130
62,2,244
62,3,364
62,4,484
62,5,665
62,6,727
63,1,131
63,2,242
63,3,361
63,4,481
63,5,601
63,6,754
64,1,128
64,2,242
64,3,362
64,4,480
64,5,600
64,6,720
